Number of runs,1
Yearly Budget in EUR,15000000
Percentage of fixed pipelines,62
Percentage subsidy to pipeline,54
Percentage of pipeline needed to be filled to start building,70

current run,tick,total CO2 emitted to air,total CO2 stored,total costs to industry to store CO2,subsidy paid to pipeline,subsidy paid to companies,electricity used
0,0,46666480,0,0,0,0,0
0,1,46666480,0,0,0,0,0
0,2,4.666648000000001E7,0,0,0,0,0
0,3,4.666648000000001E7,0,0,0,0,0
0,4,4.666647999999999E7,0,0,0,0,0
0,5,46666480,0,0,0,0,0
0,6,4.666648000000001E7,0,0,0,0,0
0,7,46666480,0,1163333.3333333333,0,443573.20286423987,0
0,8,4.366647999999999E7,3000000,1.9703619043776488E8,8100000.000000002,1035004.14001656,390000000
0,9,3.666648000000001E7,10000000,6.18976507814827E8,8100000.000000002,790079.7133178585,1300000000
0,10,3.1666480000000004E7,15000000,8.883908688742238E8,8100000.000000002,2822741.6430483637,1950000000
0,11,1.6666480000000002E7,30000000,1.6834907460991206E9,8100000.000000002,1307376.1276908577,3900000000
0,12,1.0666480000000004E7,36000000,1.9171150981720448E9,8100000.000000002,451265.05416860664,4680000000
0,13,1.0666480000000002E7,36000000,1.8229826170729663E9,0,705106.0893565635,4680000000
0,14,1.0666480000000002E7,36000000,1.737886081457413E9,0,5026306.71036743,4680000000
0,15,1.0666480000000004E7,36000000,1.6572941226226373E9,0,5026306.71036743,4680000000
0,16,2896480.0000000023,43770000,1.912172967971557E9,8100000.000000002,1798343.971019492,5690100000
0,17,2896480.0000000023,43770000,1.8210167848110747E9,0,6622521.12909462,5690100000
0,18,2896480.000000002,43770000,1.7345562855705206E9,0,6622521.12909462,5690100000
0,19,116480.00000000221,46550000,1.752080884782999E9,8100000.000000002,0,6051500000
0,20,116480.00000000221,46550000,1.6664475600676584E9,0,0,6051500000
0,21,116480.00000000221,46550000,1.5850959015880854E9,0,0,6051500000
0,22,116480.00000000221,46550000,1.5078118260324898E9,0,0,6051500000
0,23,116480.00000000221,46550000,1.434391954254675E9,0,0,6051500000
0,24,116480.00000000221,46550000,1.3646430760657508E9,0,0,6051500000
0,25,116480.00000000221,46550000,1.2983816417862725E9,0,0,6051500000
0,26,116480.00000000221,46550000,1.2354332792207687E9,0,0,6051500000
0,27,116480.00000000221,46550000,1.1756323347835395E9,0,0,6051500000
0,28,116480.00000000221,46550000,1.118821437568172E9,0,0,6051500000
0,29,116480.00000000221,46550000,1.064851085213573E9,0,0,6051500000
0,30,116480.00000000221,46550000,1.0135792504767038E9,0,0,6051500000
0,31,116480.00000000221,46550000,9.648710074766783E8,0,0,6051500000
