Number of runs,3
Yearly Budget in EUR,30000000
Percentage of fixed pipelines,62
Percentage subsidy to pipeline,1
Percentage of pipeline needed to be filled to start building,69

current run,tick,total CO2 emitted to air,total CO2 stored,total costs to industry to store CO2,subsidy paid to pipeline,subsidy paid to companies,electricity used
0,0,4.180367999999999E7,0,0,0,0,0
0,1,4.180368000000001E7,0,0,0,0,0
0,2,41803680,0,0,0,0,0
0,3,4.180368000000001E7,0,0,0,0,0
0,4,4.180368000000001E7,0,0,0,0,0
0,5,41803680,0,0,0,0,0
0,6,4.180367999999999E7,0,0,0,0,0
0,7,41803680,0,0,0,0,0
0,8,4.180367999999999E7,0,534785.346215781,0,973335.361862879,0
0,9,41803680,0,1171062.8019323673,0,1158055.9414864914,0
0,10,3.880367999999999E7,3000000,1.7678834133868188E8,300000,937812.1734737229,390000000
0,11,3.880367999999999E7,3000000,1.6848903899914598E8,0,949085.241399785,390000000
0,12,3.880367999999999E7,3000000,1.6017033764960274E8,0,0,390000000
0,13,38803680,3000000,1.527247967643621E8,0,949085.241399785,390000000
0,14,3.8803680000000015E7,3000000,1.4589194498687553E8,0,1400666.122388392,390000000
0,15,34413680,7390000,3.3705992720643914E8,300000,0,960700000
0,16,34413680,7390000,3.21615548192563E8,0,2381959.732292507,960700000
0,17,34413680,7390000,3.067031657139217E8,0,1803730.3769896156,960700000
0,18,2.9563680000000007E7,12240000,4.794725788281618E8,300000,0,1591200000
0,19,29563680,12240000,4.5672747645220107E8,0,1587285.4800214313,1591200000
0,20,2.9563680000000007E7,12240000,4.3598487603883874E8,0,2943510.415482782,1591200000
0,21,2.9563680000000004E7,12240000,4.155567519665955E8,0,1597331.5906544784,1591200000
0,22,29563680,12240000,3.9523543972598356E8,0,0,1591200000
0,23,29563680,12240000,3.762753230490931E8,0,572628.3060836811,1591200000
0,24,2.9563680000000007E7,12240000,3.5860137900958997E8,0,1105072.169635174,1591200000
0,25,2.9563680000000007E7,12240000,3.4213506993373656E8,0,1587285.4800214313,1591200000
0,26,29563680,12240000,3.255832341055567E8,0,0,1591200000
0,27,29563680,12240000,3.10282833869108E8,0,703227.7443132926,1591200000
0,28,29563680,12240000,2.9711889108409524E8,0,2943510.415482782,1591200000
0,29,21093680,20710000,4.695109789810949E8,300000,0,2692300000
0,30,21093680,20710000,4.4721758894853437E8,0,520961.72882114456,2692300000
0,31,2.1093680000000004E7,20710000,4.255473910424004E8,0,0,2692300000
