Number of runs,2
Yearly Budget in EUR,15000000
Percentage of fixed pipelines,62
Percentage subsidy to pipeline,54
Percentage of pipeline needed to be filled to start building,70

current run,tick,total CO2 emitted to air,total CO2 stored,total costs to industry to store CO2,subsidy paid to pipeline,subsidy paid to companies,electricity used
0,0,4.66935712E7,0,0,0,0,0
0,1,4.66935712E7,0,0,0,0,0
0,2,4.669357120000001E7,0,0,0,0,0
0,3,4.6693571199999996E7,0,0,0,0,0
0,4,4.669357119999999E7,0,0,0,0,0
0,5,4.669357120000001E7,0,0,0,0,0
0,6,4.6693571199999996E7,0,0,0,0,0
0,7,4.66935712E7,0,1163333.3333333333,0,443315.8455868974,0
0,8,4.36935712E7,3000000,1.9766619043776488E8,8100000.000000002,1034403.6397027604,390000000
0,9,3.66935712E7,10000000,6.19606507814827E8,8100000.000000002,789589.8424526121,1300000000
0,10,3.1693571200000007E7,15000000,8.890208688742236E8,8100000.000000002,2820657.587016223,1950000000
0,11,1.6693571200000007E7,30000000,1.6841207460991201E9,8100000.000000002,1306258.6017444443,3900000000
0,12,1.0693571200000003E7,36000000,1.9230358124577587E9,8100000.000000002,3852261.402281614,4680000000
0,13,1.0693571199999997E7,36000000,1.834194045644395E9,0,6013706.627772767,4680000000
0,14,1373571.200000003,45320000,2.187252763551123E9,8100000.000000002,0,5891600000
0,15,1373571.200000003,45320000,2.0807481729926147E9,0,6279252.214956152,5891600000
0,16,1373571.200000003,45320000,1.9796308060096502E9,0,6279252.214956152,5891600000
0,17,1373571.200000003,45320000,1.8836313014234536E9,0,6279252.214956152,5891600000
0,18,1373571.2000000025,45320000,1.7924937661141858E9,0,6279252.214956152,5891600000
0,19,1373571.200000003,45320000,1.705975101618E9,0,6279252.214956155,5891600000
0,20,1373571.2000000027,45320000,1.6238443643942428E9,0,6279252.214956152,5891600000
0,21,123571.20000000286,46570000,1.5861482253307757E9,8100000.000000002,0,6054100000
0,22,123571.20000000286,46570000,1.5088309450166178E9,0,0,6054100000
0,23,123571.20000000286,46570000,1.4353795287181673E9,0,0,6054100000
0,24,123571.20000000286,46570000,1.36560068323464E9,0,0,6054100000
0,25,123571.20000000286,46570000,1.2993107800252886E9,0,0,6054100000
0,26,123571.20000000286,46570000,1.2363353719764051E9,0,0,6054100000
0,27,123571.20000000286,46570000,1.176508734329966E9,0,0,6054100000
0,28,123571.20000000286,46570000,1.1196734285658486E9,0,0,6054100000
0,29,123571.20000000286,46570000,1.0656798880899372E9,0,0,6054100000
0,30,123571.20000000286,46570000,1.0143860246378211E9,0,0,6054100000
0,31,123571.20000000286,46570000,9.656568543583109E8,0,0,6054100000
1,0,4.221962879999998E7,0,0,0,0,0
1,1,4.221962879999999E7,0,0,0,0,0
1,2,4.221962879999999E7,0,0,0,0,0
1,3,4.221962879999999E7,0,0,0,0,0
1,4,4.2219628800000004E7,0,0,0,0,0
1,5,4.221962879999999E7,0,0,0,0,0
1,6,4.221962879999999E7,0,0,0,0,0
1,7,4.22196288E7,0,391904.7619047617,0,490293.2732558749,0
1,8,3.92196288E7,3000000,1.9626476186633635E8,8100000.000000002,1144017.637597041,390000000
1,9,3.2219628799999997E7,10000000,6.182050792433984E8,8100000.000000002,879661.563752485,1300000000
1,10,2.7219628800000004E7,15000000,8.876194403027953E8,8100000.000000002,3212327.5113585414,1950000000
1,11,1.2219628800000004E7,30000000,1.6827193175276918E9,8100000.000000002,1520961.226333843,3900000000
1,12,6219628.800000003,36000000,1.9186579553149018E9,8100000.000000002,2648280.1179688848,4680000000
1,13,6219628.8000000045,36000000,1.8268397599301093E9,0,5203043.628584392,4680000000
1,14,6219628.800000001,36000000,1.739763224314556E9,0,5203043.6285843905,4680000000
1,15,1529628.800000002,40690000,1.8660277627510812E9,8100000.000000002,0,5289700000
1,16,1529628.800000002,40690000,1.7755162436611462E9,0,6315257.662512622,5289700000
1,17,1529628.8000000021,40690000,1.6895997338590415E9,0,6315257.662512622,5289700000
1,18,1529628.8000000021,40690000,1.6080484828803754E9,0,6315257.662512621,5289700000
1,19,1529628.8000000021,40690000,1.530644227783975E9,0,6315257.662512621,5289700000
1,20,1529628.8000000021,40690000,1.4571796187757287E9,0,6315257.662512621,5289700000
1,21,1529628.8000000021,40690000,1.3874576735512276E9,0,6315257.662512621,5289700000
1,22,129628.80000000208,42090000,1.3640649211435301E9,8100000.000000002,0,5471700000
1,23,129628.80000000208,42090000,1.297679477467306E9,0,0,5471700000
1,24,129628.80000000208,42090000,1.234613305974893E9,0,0,5471700000
1,25,129628.80000000208,42090000,1.1747004430571003E9,0,0,5471700000
1,26,129628.80000000208,42090000,1.1177832232851977E9,0,0,5471700000
1,27,129628.80000000208,42090000,1.0637118645018903E9,0,0,5471700000
1,28,129628.80000000208,42090000,1.0123440736577482E9,0,0,5471700000
1,29,129628.80000000208,42090000,9.63544672355813E8,0,0,5471700000
1,30,129628.80000000208,42090000,9.171852411189749E8,0,0,5471700000
1,31,129628.80000000208,42090000,8.731437814439782E8,0,0,5471700000
