What,number
Capture – Capex,200
Capture – Opex Electricty,130
Connection to Pipeline,1
Pipeline – Opex Extensible,0.3
Pipeline – Opex Fixed,70
Electricity (NL 2018),75
Governments yearly total subsidy amount,15
